Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Total
2020,MI,Full-Service Providers,16.26,12.11,7.56,11.39,12.7
2020,MN,Full-Service Providers,13.17,10.43,7.67,9.4,10.57
2020,MO,Full-Service Providers,11.22,8.93,6.84,7.84,9.64
2020,MS,Full-Service Providers,11.17,10.38,5.63,0.0,9.13
2020,MT,Full-Service Providers,11.24,10.7,8.01,0.0,10.55
2020,NC,Full-Service Providers,11.38,8.69,6.31,7.67,9.43
2020,ND,Full-Service Providers,10.44,9.02,7.26,0.0,8.53
2020,NE,Full-Service Providers,10.8,8.89,7.38,0.0,8.97
2020,NH,Full-Service Providers,18.5,15.69,12.21,0.0,17.59
2020,NJ,Full-Service Providers,15.95,12.76,7.86,9.9,14.55
2020,NM,Full-Service Providers,12.94,10.28,5.58,0.0,9.33
2020,NV,Full-Service Providers,11.34,8.35,6.12,8.84,8.95
2020,NY,Full-Service Providers,17.84,16.35,5.24,14.12,16.78
2020,OH,Full-Service Providers,12.24,11.59,8.8,7.48,11.51
2020,OK,Full-Service Providers,10.12,7.82,4.61,0.0,7.63
2020,OR,Full-Service Providers,11.17,9.18,5.82,9.46,9.03
2020,PA,Full-Service Providers,12.89,10.33,7.19,0.0,12.13
2020,RI,Full-Service Providers,21.75,15.66,18.7,0.0,20.0
2020,SC,Full-Service Providers,12.78,10.35,5.98,0.0,9.9
2020,SD,Full-Service Providers,11.75,9.65,7.79,0.0,10.06
2020,TN,Full-Service Providers,10.76,10.56,5.33,0.0,9.52
2020,TX,Full-Service Providers,11.71,7.6,5.07,6.52,8.36
2020,UT,Full-Service Providers,10.44,8.27,5.9,10.69,8.27
2020,VA,Full-Service Providers,12.03,7.72,6.4,8.77,9.29
2020,VT,Full-Service Providers,19.54,16.39,11.2,0.0,16.33
2020,WA,Full-Service Providers,9.87,8.96,5.27,9.93,8.47
2020,WI,Full-Service Providers,14.32,10.75,7.29,14.64,10.82
2020,WV,Full-Service Providers,11.8,9.4,6.09,0.0,8.75
2020,WY,Full-Service Providers,11.11,9.65,6.88,0.0,8.27
2020,US,Full-Service Providers,12.81,10.27,6.6,10.53,10.46
2020,CA,Restructured Retail Service Providers,22.41,17.89,12.9,6.14,18.35
2020,CT,Restructured Retail Service Providers,25.37,17.26,14.33,13.24,18.8
2020,DC,Restructured Retail Service Providers,15.42,11.78,7.99,9.6,11.87
2020,DE,Restructured Retail Service Providers,14.64,7.77,4.68,0.0,7.47
2020,IL,Restructured Retail Service Providers,13.73,8.59,6.6,6.56,8.67
2020,MA,Restructured Retail Service Providers,23.7,16.32,15.13,6.24,18.13
2020,MD,Restructured Retail Service Providers,14.81,9.24,7.61,7.79,9.96
2020,ME,Restructured Retail Service Providers,20.25,11.85,8.77,0.0,11.28
2020,MI,Restructured Retail Service Providers,0.0,8.06,5.75,0.0,6.76
2020,MT,Restructured Retail Service Providers,11.43,4.53,3.42,0.0,3.47
2020,NH,Restructured Retail Service Providers,21.98,15.28,13.24,0.0,15.6
2020,NJ,Restructured Retail Service Providers,16.58,12.12,10.87,8.84,12.45
2020,NV,Restructured Retail Service Providers,0.0,5.16,2.52,0.0,4.28
2020,NY,Restructured Retail Service Providers,21.5,13.47,5.61,11.89,12.72
2020,OH,Restructured Retail Service Providers,12.34,9.02,5.63,6.55,8.51
2020,OR,Restructured Retail Service Providers,0.0,6.29,4.75,0.0,5.29
2020,PA,Restructured Retail Service Providers,15.27,7.86,6.1,8.58,8.29
2020,RI,Restructured Retail Service Providers,24.53,16.08,15.08,22.23,16.7
2020,VA,Restructured Retail Service Providers,0.0,6.23,4.91,0.0,5.81
2020,WA,Restructured Retail Service Providers,0.0,5.32,3.0,0.0,3.33
2020,US,Restructured Retail Service Providers,17.39,11.84,6.98,9.68,11.33
2020,CA,Energy-Only Providers,7.99,6.7,5.89,4.25,6.95
2020,CT,Energy-Only Providers,9.72,8.07,7.22,4.18,8.34
2020,DC,Energy-Only Providers,10.61,6.46,6.39,5.9,6.77
2020,DE,Energy-Only Providers,8.94,5.5,3.99,0.0,5.36
2020,IL,Energy-Only Providers,7.71,5.51,5.01,4.94,5.7
2020,MA,Energy-Only Providers,11.99,9.42,9.05,5.24,10.05
2020,MD,Energy-Only Providers,9.19,5.66,5.31,5.95,6.22
2020,ME,Energy-Only Providers,11.17,6.69,5.63,0.0,6.65
2020,MI,Energy-Only Providers,0.0,5.72,5.03,0.0,5.33
2020,MT,Energy-Only Providers,7.14,1.98,2.89,0.0,2.85
2020,NH,Energy-Only Providers,11.41,7.38,7.09,0.0,7.87
2020,NJ,Energy-Only Providers,11.8,7.95,7.37,6.92,8.33
2020,NV,Energy-Only Providers,0.0,4.15,2.4,0.0,3.57
2020,NY,Energy-Only Providers,9.13,6.14,3.67,7.01,6.0
2020,OH,Energy-Only Providers,5.86,4.51,4.07,4.37,4.67
2020,OR,Energy-Only Providers,0.0,3.31,3.06,0.0,3.15
2020,PA,Energy-Only Providers,8.81,5.53,5.06,6.63,5.88
2020,RI,Energy-Only Providers,12.64,7.72,7.2,11.24,8.09
2020,VA,Energy-Only Providers,0.0,5.2,4.63,0.0,5.02
2020,WA,Energy-Only Providers,0.0,2.51,2.43,0.0,2.44
2020,US,Energy-Only Providers,8.29,6.23,4.89,6.29,6.2
2020,CA,Delivery-Only Service,14.42,11.19,7.02,1.89,11.4
2020,CT,Delivery-Only Service,15.65,9.19,7.1,9.06,10.46
2020,DC,Delivery-Only Service,4.81,5.32,1.6,3.7,5.1
2020,DE,Delivery-Only Service,5.71,2.27,0.69,0.0,2.11
2020,IL,Delivery-Only Service,6.02,3.09,1.59,1.62,2.98
2020,MA,Delivery-Only Service,11.71,6.9,6.07,0.99,8.08
2020,MD,Delivery-Only Service,5.62,3.57,2.3,1.84,3.75
2020,ME,Delivery-Only Service,9.08,5.16,3.14,0.0,4.63
2020,MI,Delivery-Only Service,0.0,2.34,0.72,0.0,1.43
2020,MT,Delivery-Only Service,4.29,2.56,0.53,0.0,0.63
2020,NH,Delivery-Only Service,10.58,7.9,6.15,0.0,7.72
2020,NJ,Delivery-Only Service,4.78,4.17,3.5,1.92,4.13
2020,NV,Delivery-Only Service,0.0,1.0,0.12,0.0,0.71
2020,NY,Delivery-Only Service,12.37,7.34,1.94,4.88,6.72
2020,OH,Delivery-Only Service,6.48,4.51,1.56,2.19,3.83
2020,OR,Delivery-Only Service,0.0,2.98,1.69,0.0,2.14
2020,PA,Delivery-Only Service,6.46,2.34,1.04,1.96,2.41
2020,RI,Delivery-Only Service,11.88,8.36,7.88,10.99,8.61
2020,VA,Delivery-Only Service,0.0,1.03,0.28,0.0,0.79
2020,WA,Delivery-Only Service,0.0,2.8,0.57,0.0,0.89
2020,US,Delivery-Only Service,9.1,5.61,2.09,3.4,5.13
2019,AK,Total Electric Industry,22.92,19.8,16.94,0.0,20.22
2019,AL,Total Electric Industry,12.53,11.52,5.95,0.0,9.83
2019,AR,Total Electric Industry,9.8,8.78,6.13,11.73,8.22
2019,AZ,Total Electric Industry,12.43,10.25,6.28,9.68,10.52
2019,CA,Total Electric Industry,19.15,16.67,13.4,8.91,16.89
2019,CO,Total Electric Industry,12.18,10.43,7.4,8.7,10.17
2019,CT,Total Electric Industry,21.87,16.75,13.44,13.69,18.66
2019,DC,Total Electric Industry,12.98,12.26,8.22,9.5,12.27
2019,DE,Total Electric Industry,12.55,9.53,7.7,0.0,10.52
2019,FL,Total Electric Industry,11.7,9.27,7.65,8.32,10.44
2019,GA,Total Electric Industry,11.76,10.02,6.17,5.85,9.86
2019,HI,Total Electric Industry,32.06,29.23,25.76,0.0,28.72
2019,IA,Total Electric Industry,12.46,9.99,6.6,0.0,9.08
2019,ID,Total Electric Industry,9.89,7.67,6.08,0.0,7.89
2019,IL,Total Electric Industry,13.03,9.08,6.52,6.91,9.56
2019,IN,Total Electric Industry,12.58,11.03,7.36,10.76,9.91
2019,KS,Total Electric Industry,12.71,10.29,7.35,0.0,10.26
2019,KY,Total Electric Industry,10.8,10.15,5.57,0.0,8.61
2019,LA,Total Electric Industry,9.8,8.91,5.23,9.08,7.71
2019,MA,Total Electric Industry,21.92,16.8,14.76,6.15,18.4
2019,MD,Total Electric Industry,13.12,9.97,7.8,7.37,11.24
2019,ME,Total Electric Industry,17.89,12.83,9.22,0.0,14.04
2019,MI,Total Electric Industry,15.74,11.39,7.07,10.56,11.56
2019,MN,Total Electric Industry,13.04,10.34,7.53,9.49,10.33
2019,MO,Total Electric Industry,11.14,9.07,7.11,7.89,9.68
2019,MS,Total Electric Industry,11.27,10.52,5.85,0.0,9.28
2019,MT,Total Electric Industry,11.13,10.41,5.45,0.0,9.02
2019,NC,Total Electric Industry,11.42,8.81,6.3,8.2,9.45
2019,ND,Total Electric Industry,10.3,9.01,7.94,0.0,8.85
2019,NE,Total Electric Industry,10.77,8.85,7.65,0.0,9.08
2019,NH,Total Electric Industry,20.05,15.93,13.09,0.0,17.15
2019,NJ,Total Electric Industry,15.85,12.23,10.16,8.8,13.42
2019,NM,Total Electric Industry,12.51,9.79,5.48,0.0,8.99
2019,NV,Total Electric Industry,12.0,8.04,6.14,8.51,8.78
2019,NY,Total Electric Industry,17.94,14.06,5.61,12.28,14.34
2019,OH,Total Electric Industry,12.38,9.72,6.55,6.83,9.58
2019,OK,Total Electric Industry,10.21,7.98,5.07,0.0,7.86
2019,OR,Total Electric Industry,11.01,8.85,5.86,9.14,8.81
2019,PA,Total Electric Industry,13.8,8.71,6.41,7.26,9.81
2019,RI,Total Electric Industry,21.73,16.38,15.59,18.49,18.49
2019,SC,Total Electric Industry,12.99,10.58,6.11,0.0,10.02
2019,SD,Total Electric Industry,11.55,9.59,7.81,0.0,9.96
2019,TN,Total Electric Industry,10.87,10.65,5.68,0.0,9.69
2019,TX,Total Electric Industry,11.76,8.06,5.45,6.44,8.6
2019,UT,Total Electric Industry,10.4,8.26,5.98,10.62,8.24
2019,VA,Total Electric Industry,12.07,8.18,6.85,8.27,9.52
2019,VT,Total Electric Industry,17.71,15.98,11.05,0.0,15.36
2019,WA,Total Electric Industry,9.71,8.75,4.8,9.45,8.04
2019,WI,Total Electric Industry,14.18,10.72,7.31,13.85,10.66
2019,WV,Total Electric Industry,11.25,9.16,6.02,0.0,8.49
2019,WY,Total Electric Industry,11.18,9.64,6.73,0.0,8.1
2019,US,Total Electric Industry,13.01,10.68,6.81,9.66,10.54
2019,AK,Full-Service Providers,22.92,19.8,16.94,0.0,20.22
2019,AL,Full-Service Providers,12.53,11.52,5.95,0.0,9.83
2019,AR,Full-Service Providers,9.8,8.78,6.13,11.73,8.22
2019,AZ,Full-Service Providers,12.43,10.25,6.28,9.68,10.52
2019,CA,Full-Service Providers,18.7,16.62,13.88,13.08,16.89
2019,CO,Full-Service Providers,12.18,10.43,7.4,8.7,10.17
2019,CT,Full-Service Providers,21.44,16.63,11.11,13.69,19.55
2019,DC,Full-Service Providers,12.17,12.75,0.0,0.0,12.38
2019,DE,Full-Service Providers,12.42,11.64,9.63,0.0,11.88
2019,FL,Full-Service Providers,11.7,9.27,7.65,8.32,10.44
2019,GA,Full-Service Providers,11.76,10.02,6.17,5.85,9.86
2019,HI,Full-Service Providers,32.06,29.23,25.76,0.0,28.72
2019,IA,Full-Service Providers,12.46,9.99,6.6,0.0,9.08
2019,ID,Full-Service Providers,9.89,7.67,6.08,0.0,7.89
2019,IL,Full-Service Providers,12.66,10.08,7.49,0.0,11.31
2019,IN,Full-Service Providers,12.58,11.03,7.36,10.76,9.91
2019,KS,Full-Service Providers,12.71,10.29,7.35,0.0,10.26
2019,KY,Full-Service Providers,10.8,10.15,5.57,0.0,8.61
2019,LA,Full-Service Providers,9.8,8.91,5.23,9.08,7.71
2019,MA,Full-Service Providers,20.76,17.11,13.85,0.0,18.78
2019,MD,Full-Service Providers,12.72,11.3,9.17,0.0,12.33
2019,ME,Full-Service Providers,17.6,14.14,10.19,0.0,16.17
2019,MI,Full-Service Providers,15.74,11.83,7.34,10.56,12.04
2019,MN,Full-Service Providers,13.04,10.34,7.53,9.49,10.33
2019,MO,Full-Service Providers,11.14,9.07,7.11,7.89,9.68
2019,MS,Full-Service Providers,11.27,10.52,5.85,0.0,9.28
2019,MT,Full-Service Providers,11.13,10.55,7.96,0.0,10.42
2019,NC,Full-Service Providers,11.42,8.81,6.3,8.2,9.45
2019,ND,Full-Service Providers,10.3,9.01,7.94,0.0,8.85
2019,NE,Full-Service Providers,10.77,8.85,7.65,0.0,9.08
2019,NH,Full-Service Providers,19.63,16.49,12.6,0.0,18.53
2019,NJ,Full-Service Providers,15.68,12.61,8.49,9.59,14.32
2019,NM,Full-Service Providers,12.51,9.79,5.48,0.0,8.99
2019,NV,Full-Service Providers,12.0,8.97,6.64,8.51,9.4
2019,NY,Full-Service Providers,17.4,15.67,5.32,13.42,16.21
2019,OH,Full-Service Providers,12.19,11.37,8.74,7.17,11.38
2019,OK,Full-Service Providers,10.21,7.98,5.07,0.0,7.86
2019,OR,Full-Service Providers,11.01,8.98,5.91,9.14,8.97
2019,PA,Full-Service Providers,13.07,10.5,7.01,0.0,12.23
2019,RI,Full-Service Providers,21.45,17.26,18.77,0.0,20.1
2019,SC,Full-Service Providers,12.99,10.58,6.11,0.0,10.02
2019,SD,Full-Service Providers,11.55,9.59,7.81,0.0,9.96
2019,TN,Full-Service Providers,10.87,10.65,5.68,0.0,9.69
2019,TX,Full-Service Providers,11.76,8.06,5.45,6.44,8.6
2019,UT,Full-Service Providers,10.4,8.26,5.98,10.62,8.24
2019,VA,Full-Service Providers,12.07,8.21,6.93,8.27,9.57
2019,VT,Full-Service Providers,17.71,15.98,11.05,0.0,15.36
2019,WA,Full-Service Providers,9.71,8.78,4.92,9.45,8.16
2019,WI,Full-Service Providers,14.18,10.72,7.31,13.85,10.66
2019,WV,Full-Service Providers,11.25,9.16,6.02,0.0,8.49
2019,WY,Full-Service Providers,11.18,9.64,6.73,0.0,8.1
2019,US,Full-Service Providers,12.72,10.39,6.75,10.2,10.44
2019,CA,Restructured Retail Service Providers,20.87,16.8,12.2,5.23,16.9
2019,CT,Restructured Retail Service Providers,23.16,16.79,14.32,13.69,17.8
2019,DC,Restructured Retail Service Providers,15.68,12.18,8.22,9.5,12.23
2019,DE,Restructured Retail Service Providers,14.59,8.26,6.06,0.0,8.13
2019,IL,Restructured Retail Service Providers,13.69,8.61,6.39,6.91,8.56
2019,MA,Restructured Retail Service Providers,23.71,16.68,15.33,6.15,18.14
2019,MD,Restructured Retail Service Providers,14.92,9.54,7.6,7.37,10.16
2019,ME,Restructured Retail Service Providers,20.15,11.71,9.08,0.0,11.38
2019,MI,Restructured Retail Service Providers,15.95,7.53,5.74,0.0,6.52
2019,MT,Restructured Retail Service Providers,11.43,5.72,4.06,0.0,4.12
2019,NH,Restructured Retail Service Providers,22.04,15.68,13.16,0.0,15.81
2019,NJ,Restructured Retail Service Providers,17.1,12.03,10.79,8.6,12.34
2019,NV,Restructured Retail Service Providers,0.0,5.27,2.76,0.0,4.39
2019,NY,Restructured Retail Service Providers,20.96,13.15,5.68,12.17,12.46
2019,OH,Restructured Retail Service Providers,12.59,9.31,6.11,6.81,8.78
2019,OR,Restructured Retail Service Providers,0.0,6.78,5.44,0.0,5.93
2019,PA,Restructured Retail Service Providers,15.47,8.13,6.37,7.26,8.52
2019,RI,Restructured Retail Service Providers,24.18,15.95,14.77,18.49,16.54
2019,VA,Restructured Retail Service Providers,0.0,5.52,5.77,0.0,5.69
2019,WA,Restructured Retail Service Providers,0.0,5.68,3.54,0.0,3.76
2019,US,Restructured Retail Service Providers,16.84,11.75,7.09,9.49,11.12
2019,CA,Energy-Only Providers,7.53,6.74,5.89,3.58,6.76
2019,CT,Energy-Only Providers,10.28,8.59,7.88,8.85,8.85
2019,DC,Energy-Only Providers,11.04,6.81,6.68,6.09,7.09
2019,DE,Energy-Only Providers,9.08,6.01,5.34,0.0,6.05
2019,IL,Energy-Only Providers,7.68,5.67,4.82,5.21,5.67
2019,MA,Energy-Only Providers,12.39,9.93,9.29,5.23,10.41
2019,MD,Energy-Only Providers,9.51,6.08,5.6,5.74,6.57
2019,ME,Energy-Only Providers,11.65,7.17,6.25,0.0,7.22
2019,MI,Energy-Only Providers,8.93,5.49,5.15,0.0,5.3
2019,MT,Energy-Only Providers,5.71,3.2,3.57,0.0,3.56
2019,NH,Energy-Only Providers,11.73,8.12,7.6,0.0,8.48
2019,NJ,Energy-Only Providers,12.33,8.06,7.47,6.86,8.41
2019,NV,Energy-Only Providers,0.0,4.09,2.62,0.0,3.57
2019,NY,Energy-Only Providers,9.15,6.41,3.86,7.2,6.22
2019,OH,Energy-Only Providers,6.12,4.91,4.54,4.78,5.05
2019,OR,Energy-Only Providers,0.0,3.92,3.82,0.0,3.86
2019,PA,Energy-Only Providers,8.97,5.82,5.37,5.7,6.14
2019,RI,Energy-Only Providers,13.33,8.45,7.87,9.72,8.82
2019,VA,Energy-Only Providers,0.0,4.91,5.5,0.0,5.31
2019,WA,Energy-Only Providers,0.0,2.76,2.94,0.0,2.92
2019,US,Energy-Only Providers,8.35,6.52,5.11,6.25,6.39
2019,CA,Delivery-Only Service,13.34,10.06,6.31,1.65,10.14
2019,CT,Delivery-Only Service,12.88,8.2,6.43,4.84,8.95
2019,DC,Delivery-Only Service,4.64,5.37,1.55,3.4,5.14
2019,DE,Delivery-Only Service,5.52,2.25,0.73,0.0,2.08
2019,IL,Delivery-Only Service,6.01,2.93,1.57,1.69,2.89
2019,MA,Delivery-Only Service,11.32,6.75,6.04,0.92,7.73
2019,MD,Delivery-Only Service,5.41,3.46,2.0,1.63,3.59
2019,ME,Delivery-Only Service,8.5,4.54,2.83,0.0,4.16
2019,MI,Delivery-Only Service,7.02,2.04,0.59,0.0,1.22
2019,MT,Delivery-Only Service,5.71,2.52,0.48,0.0,0.57
2019,NH,Delivery-Only Service,10.32,7.56,5.55,0.0,7.33
2019,NJ,Delivery-Only Service,4.77,3.97,3.33,1.74,3.94
2019,NV,Delivery-Only Service,0.0,1.18,0.14,0.0,0.82
2019,NY,Delivery-Only Service,11.81,6.74,1.82,4.97,6.24
2019,OH,Delivery-Only Service,6.47,4.39,1.56,2.03,3.73
2019,OR,Delivery-Only Service,0.0,2.86,1.62,0.0,2.08
2019,PA,Delivery-Only Service,6.5,2.31,1.0,1.56,2.38
2019,RI,Delivery-Only Service,10.85,7.5,6.9,8.77,7.72
2019,VA,Delivery-Only Service,0.0,0.61,0.28,0.0,0.38
2019,WA,Delivery-Only Service,0.0,2.92,0.6,0.0,0.84
2019,US,Delivery-Only Service,8.48,5.24,1.98,3.24,4.73
2018,AK,Total Electric Industry,21.94,18.58,17.1,0.0,19.36
2018,AL,Total Electric Industry,12.18,11.24,6.01,0.0,9.63
2018,AR,Total Electric Industry,9.81,7.75,5.64,11.35,7.78
2018,AZ,Total Electric Industry,12.77,10.64,6.55,10.02,10.85
2018,CA,Total Electric Industry,18.84,16.34,13.2,8.64,16.58
2018,CO,Total Electric Industry,12.15,10.02,7.47,9.0,10.02
2018,CT,Total Electric Industry,21.2,16.76,13.77,12.84,18.41
2018,DC,Total Electric Industry,12.84,11.97,8.3,9.54,12.03
2018,DE,Total Electric Industry,12.53,9.65,7.95,0.0,10.55
2018,FL,Total Electric Industry,11.54,9.19,7.65,8.26,10.32
2018,GA,Total Electric Industry,11.47,9.79,6.0,5.52,9.62
2018,HI,Total Electric Industry,32.47,29.9,26.1,0.0,29.18
2018,IA,Total Electric Industry,12.24,9.68,6.45,0.0,8.92
2018,ID,Total Electric Industry,10.15,7.93,6.47,0.0,8.17
2018,IL,Total Electric Industry,12.77,9.12,6.8,6.75,9.6
2018,IN,Total Electric Industry,12.26,10.6,7.38,10.44,9.75
2018,KS,Total Electric Industry,13.35,10.66,7.6,0.0,10.72
2018,KY,Total Electric Industry,10.6,9.74,5.68,0.0,8.52
2018,LA,Total Electric Industry,9.59,8.85,5.35,9.21,7.71
2018,MA,Total Electric Industry,21.61,17.17,14.89,6.38,18.5
2018,MD,Total Electric Industry,13.3,10.43,8.23,7.44,11.57
2018,ME,Total Electric Industry,16.84,12.51,9.32,0.0,13.44
2018,MI,Total Electric Industry,15.45,11.15,7.1,10.76,11.4
2018,MN,Total Electric Industry,13.14,10.38,7.52,9.58,10.37
2018,MO,Total Electric Industry,11.34,9.4,7.22,8.52,9.93
2018,MS,Total Electric Industry,11.12,10.43,6.0,0.0,9.24
2018,MT,Total Electric Industry,10.96,10.11,5.19,0.0,8.84
2018,NC,Total Electric Industry,11.09,8.58,6.33,8.02,9.25
2018,ND,Total Electric Industry,10.25,9.1,7.98,0.0,8.91
2018,NE,Total Electric Industry,10.7,8.83,7.6,0.0,9.02
2018,NH,Total Electric Industry,19.69,15.81,13.42,0.0,17.01
2018,NJ,Total Electric Industry,15.41,12.21,10.07,9.07,13.23
2018,NM,Total Electric Industry,12.68,10.02,5.84,0.0,9.35
2018,NV,Total Electric Industry,11.85,7.74,6.1,8.31,8.67
2018,NY,Total Electric Industry,18.52,14.5,6.02,12.14,14.83
2018,OH,Total Electric Industry,12.56,10.11,7.01,7.33,9.94
2018,OK,Total Electric Industry,10.3,8.07,5.34,0.0,8.09
2018,OR,Total Electric Industry,10.98,8.91,5.86,9.16,8.85
2018,PA,Total Electric Industry,13.89,8.94,6.84,7.78,10.1
2018,RI,Total Electric Industry,20.55,16.58,15.39,17.01,18.1
2018,SC,Total Electric Industry,12.44,10.11,6.1,0.0,9.67
2018,SD,Total Electric Industry,11.59,9.62,7.77,0.0,9.97
2018,TN,Total Electric Industry,10.71,10.51,5.68,0.0,9.58
2018,TX,Total Electric Industry,11.2,8.16,5.39,8.08,8.48
2018,UT,Total Electric Industry,10.41,8.23,5.9,10.59,8.21
2018,VA,Total Electric Industry,11.73,8.32,6.86,8.28,9.48
2018,VT,Total Electric Industry,18.02,15.24,10.66,0.0,15.13
2018,WA,Total Electric Industry,9.75,8.72,4.72,9.38,8.0
2018,WI,Total Electric Industry,14.02,10.67,7.33,13.85,10.58
2018,WV,Total Electric Industry,11.18,9.24,6.4,0.0,8.72
2018,WY,Total Electric Industry,11.29,9.58,6.71,0.0,8.09
2018,US,Total Electric Industry,12.87,10.67,6.92,9.7,10.53
2018,AK,Full-Service Providers,21.94,18.58,17.1,0.0,19.36
2018,AL,Full-Service Providers,12.18,11.24,6.01,0.0,9.63
2018,AR,Full-Service Providers,9.81,7.75,5.64,11.35,7.78
2018,AZ,Full-Service Providers,12.77,10.64,6.55,10.02,10.85
